organism,type,serine_count_mean,serine_count_sd,serine_fraction_mean,serine_fraction_sd,length_mean,length_sd
Bactrocera tryoni,heavy chain,121.000,0.000,8.120,0.378,1492.500,69.174
Calliphora vicina,heavy chain,156.750,81.500,11.750,8.774,1461.500,227.667
Ceratitis capitata,heavy chain,142.000,0.000,8.965,0.034,1584.000,6.000
Chironomus tepperi,heavy chain,32.000,0.000,12.629,0.388,253.500,7.778
Condylostylus longicornis,heavy chain,707.000,0.000,30.806,0.000,2295.000,0.000
Culex pipiens pallens,heavy chain,35.571,4.398,11.686,0.279,304.000,32.534
Culex quinquefasciatus,heavy chain,34.429,2.760,11.928,0.536,289.429,29.137
Culicoides brevitarsis,heavy chain,80.000,0.000,10.458,0.000,765.000,0.000
Drosophila albomicans,heavy chain,74.000,0.000,11.897,0.000,622.000,0.000
Drosophila ananassae,heavy chain,77.000,0.000,12.833,0.000,600.000,0.000
Drosophila arizonae,heavy chain,38.000,22.627,7.910,1.758,460.000,183.848
Drosophila biarmipes,heavy chain,73.400,20.611,16.226,7.142,479.800,132.566
Drosophila bipectinata,heavy chain,96.333,12.423,16.242,2.241,593.667,7.095
Drosophila busckii,heavy chain,49.000,0.000,8.581,0.000,571.000,0.000
Drosophila elegans,heavy chain,107.500,68.589,11.642,2.441,881.000,404.465
Drosophila erecta,heavy chain,72.500,3.536,11.862,0.304,611.000,14.142
Drosophila eugracilis,heavy chain,100.000,30.537,16.184,2.309,612.400,121.329
Drosophila ficusphila,heavy chain,84.250,18.228,14.506,3.423,583.000,17.907
Drosophila grimshawi,heavy chain,119.600,5.128,4.136,0.120,2895.800,197.305
Drosophila guanche,heavy chain,149.444,33.437,17.009,2.273,890.111,227.643
Drosophila gunungcola,heavy chain,79.667,15.308,13.804,2.961,579.333,15.948
Drosophila hydei,heavy chain,214.000,0.000,15.070,0.000,1420.000,0.000
Drosophila innubila,heavy chain,66.000,0.000,11.702,0.000,564.000,0.000
Drosophila madeirensis,heavy chain,209.333,2.082,18.853,4.722,1152.000,249.616
Drosophila mauritiana,heavy chain,79.000,11.269,13.768,2.366,576.000,19.975
Drosophila miranda,heavy chain,199.500,3.536,19.377,5.843,1081.500,344.361
Drosophila mojavensis,heavy chain,64.000,0.000,10.273,0.000,623.000,0.000
Drosophila montana,heavy chain,54.000,0.000,9.765,0.000,553.000,0.000
Drosophila nasuta,heavy chain,84.000,16.971,14.719,4.419,579.500,58.690
Drosophila navojoa,heavy chain,170.000,0.000,14.015,0.000,1213.000,0.000
Drosophila novamexicana,heavy chain,81.706,6.555,1.573,0.082,5191.118,321.960
Drosophila obscura,heavy chain,86.667,17.898,15.221,3.995,576.333,39.804
Drosophila persimilis,heavy chain,127.500,88.388,16.657,8.778,726.500,147.785
Drosophila pseudoobscura,heavy chain,209.000,0.000,15.585,0.000,1341.000,0.000
Drosophila rhopaloa,heavy chain,78.444,13.164,14.209,1.473,552.000,70.571
Drosophila santomea,heavy chain,83.000,13.077,14.481,2.760,576.000,23.302
Drosophila sechellia,heavy chain,199.000,0.000,16.166,0.000,1231.000,0.000
Drosophila serrata,heavy chain,71.000,0.000,11.833,0.000,600.000,0.000
Drosophila simulans,heavy chain,77.200,12.795,13.878,2.067,556.000,37.014
Drosophila subobscura,heavy chain,162.333,92.770,16.679,7.174,924.333,276.174
Drosophila subpulchrella,heavy chain,72.000,21.587,12.845,4.439,570.400,39.336
Drosophila sulfurigaster albostrigata,heavy chain,69.000,0.000,10.781,0.000,640.000,0.000
Drosophila teissieri,heavy chain,84.000,21.213,14.446,4.220,585.000,24.042
Drosophila virilis,heavy chain,83.667,19.630,1.570,0.204,5275.333,609.971
Drosophila willistoni,heavy chain,57.500,23.335,12.927,0.544,449.000,199.404
Drosophila yakuba,heavy chain,85.000,13.892,14.992,3.057,570.667,27.791
Episyrphus balteatus,heavy chain,122.000,5.657,6.990,0.126,1745.000,49.497
Eupeodes corollae,heavy chain,153.500,6.364,8.750,0.116,1754.000,49.497
Eurosta solidaginis,heavy chain,145.333,2.887,8.268,0.105,1757.667,12.702
Hermetia illucens,heavy chain,291.500,13.435,18.291,1.385,1595.500,47.376
Lucilia sericata,heavy chain,119.000,0.000,7.638,0.000,1558.000,0.000
Malaya genurostris,heavy chain,32.143,2.610,10.777,0.440,298.571,25.890
Musca domestica,heavy chain,170.250,109.260,10.224,6.538,1650.375,173.348
Musca vetustissima,heavy chain,716.000,0.000,19.435,0.000,3684.000,0.000
Ochlerotatus camptorhynchus,heavy chain,30.000,0.000,10.345,0.000,290.000,0.000
Phlebotomus argentipes,heavy chain,48.000,1.414,15.495,0.392,310.000,16.971
Rhagoletis pomonella,heavy chain,37.000,0.000,10.850,0.000,341.000,0.000
Rhagoletis zephyria,heavy chain,123.000,0.000,7.348,0.000,1674.000,0.000
Scaptodrosophila lebanonensis,heavy chain,47.000,0.000,9.144,0.000,514.000,0.000
Stomoxys calcitrans,heavy chain,242.500,155.000,11.248,5.745,2075.250,210.500
Teleopsis dalmanni,heavy chain,462.611,18.308,23.353,0.075,1981.000,79.038
Topomyia yanbarensis,heavy chain,84.333,4.619,12.277,2.321,700.333,106.308
Toxorhynchites rutilus septentrionalis,heavy chain,118.000,19.053,7.465,0.688,1573.667,116.779
Uranotaenia lowii,heavy chain,40.250,13.696,11.228,1.728,351.000,86.267
Wyeomyia smithii,heavy chain,85.833,23.978,16.202,2.779,520.333,94.246
Zeugodacus cucurbitae,heavy chain,120.500,1.000,8.182,0.249,1474.000,55.390
